id,label,SampleID,CenterID,ContributorID,Tasks,DataLocation,CenterName,InstrumentID,ModelName,DependencyID,ModelLicense,TaskName,TaskID,ModelID,DataID,F1_Score,Output,SampleName,Username,TestID,InstrumentName,label_clean
631906cf256888ddf0082d21,Sample,,631906cc256888ddf0082cfa,,,,,,,,,,,,,,,Metal Fluorides_Dihydrate,,,,Sample
631906cf256888ddf0082d36,Sample,,631906cc256888ddf0082cfa,,,,,,,,,,,,,,,Anhydrous CuF2,,,,Sample
631906cf256888ddf0082d3c,Sample,,631906cc256888ddf0082cfa,,,,,,,,,,,,,,,Metal Fluorides_Strem,,,,Sample
631906cf256888ddf0082d51,Sample,,631906cc256888ddf0082cfa,,,,,,,,,,,,,,,Metal Fluorides_Sigma,,,,Sample
631906cf256888ddf0082d66,Sample,,631906cc256888ddf0082cfa,,,,,,,,,,,,,,,Aged Anhydrous CuF2,,,,Sample
631906cf256888ddf0082d6c,Sample,,631906cc256888ddf0082cfa,,,,,,,,,,,,,,,Metal Fluorides_Acros,,,,Sample
631906cf256888ddf0082d81,Sample,,631906cc256888ddf0082cfa,,,,,,,,,,,,,,,Metal Fluorides_Apollo,,,,Sample
631906cf256888ddf0082d96,Sample,,631906cc256888ddf0082cfa,,,,,,,,,,,,,,,CuF2 dihydrate,,,,Sample
631906cf256888ddf0082d9c,Sample,,631906cc256888ddf0082cfa,,,,,,,,,,,,,,,Metal Fluorides_FC,,,,Sample
631906cf256888ddf0082db1,Sample,,631906cc256888ddf0082cfa,,,,,,,,,,,,,,,Metal Fluorides_Alfa,,,,Sample
631906cf256888ddf0082dc6,Sample,,631906c9256888ddf0082cbe,,,,,,,,,,,,,,,Ca,,,,Sample
631906d7256888ddf0084eb5,Sample,,631906c8256888ddf0082cb2,,,,,,,,,,,,,,,SuppMat,,,,Sample
631906d7256888ddf0084f24,Sample,,631906c8256888ddf0082ca6,,,,,,,,,,,,,,,S1_UNSW,,,,Sample
631906d7256888ddf0084f2a,Sample,,631906c6256888ddf0082c82,,,,,,,,,,,,,,,CaCO3-TiO2,,,,Sample
631906d7256888ddf008501b,Sample,,631906c6256888ddf0082c82,,,,,,,,,,,,,,,Mn-O,,,,Sample
631906d8256888ddf00854af,Sample,,631906cc256888ddf0082cee,,,,,,,,,,,,,,,Amorphous Siliceous Fly Ash_Raw_Materials_Hydrated_Powders,,,,Sample
631906d8256888ddf0085528,Sample,,631906cc256888ddf0082cee,,,,,,,,,,,,,,,Amorphous Siliceous Fly Ash_Raw_Materials,,,,Sample
631906d8256888ddf0085533,Sample,,631906cc256888ddf0082cee,,,,,,,,,,,,,,,Amorphous Siliceous Fly Ash_Raw_Materials_Hydrated_PC_PlusRawFA,,,,Sample
631906d8256888ddf008556b,Sample,,631906cc256888ddf0082cee,,,,,,,,,,,,,,,Amorphous Siliceous Fly Ash_Raw_Materials_Hydrated_Powders_McCronemilled,,,,Sample
631906d9256888ddf00855b2,Sample,,631906cc256888ddf0082cee,,,,,,,,,,,,,,,Amorphous Siliceous Fly Ash_Raw_Materials_Rutile,,,,Sample
631906d9256888ddf00855e0,Sample,,631906cc256888ddf0082cee,,,,,,,,,,,,,,,Amorphous Siliceous Fly Ash_Raw_Materials_Hydrated_Powders_duplicates,,,,Sample
631906d9256888ddf008561e,Sample,,631906cc256888ddf0082cee,,,,,,,,,,,,,,,Amorphous Siliceous Fly Ash_Raw_Materials_Hydrated_Freshdisc,,,,Sample
631906d9256888ddf00856a7,Sample,,631906cd256888ddf0082d07,,,,,,,,,,,,,,,CaCO3,,,,Sample
631906df256888ddf0087778,Sample,,631906cd256888ddf0082d07,,,,,,,,,,,,,,,Smectite,,,,Sample
631906df256888ddf00877e7,Sample,,631906c7256888ddf0082c9a,,,,,,,,,,,,,,,BZnZr - BIn - BSc - PT,,,,Sample
631906df256888ddf00877fc,Sample,,631906c7256888ddf0082c9a,,,,,,,,,,,,,,,BZnTi - BSc - PT,,,,Sample
631906df256888ddf0087811,Sample,,631906c7256888ddf0082c9a,,,,,,,,,,,,,,,BSnZn - PT,,,,Sample
631906df256888ddf0087826,Sample,,631906c7256888ddf0082c9a,,,,,,,,,,,,,,,BZnV - PT,,,,Sample
631906df256888ddf008784a,Sample,,631906c7256888ddf0082c9a,,,,,,,,,,,,,,,BMgV - PT,,,,Sample
631906df256888ddf0087855,Sample,,631906c7256888ddf0082c9a,,,,,,,,,,,,,,,BZnZr - BS - PT,,,,Sample
631906df256888ddf008786f,Sample,,631906c7256888ddf0082c9a,,,,,,,,,,,,,,,BZGe - BS - PT,,,,Sample
631906df256888ddf008787a,Sample,,631906c7256888ddf0082c9a,,,,,,,,,,,,,,,BZnZr - PT,,,,Sample
631906df256888ddf008788f,Sample,,631906c7256888ddf0082c9a,,,,,,,,,,,,,,,BZnTi - PT,,,,Sample
631906df256888ddf0087895,Sample,,631906c7256888ddf0082c9a,,,,,,,,,,,,,,,BMgMo -PT,,,,Sample
631906df256888ddf00878a5,Sample,,631906c7256888ddf0082c9a,,,,,,,,,,,,,,,BZnV - BSc - PT,,,,Sample
631906df256888ddf00878b0,Sample,,631906c7256888ddf0082c9a,,,,,,,,,,,,,,,BSc - PT,,,,Sample
631906df256888ddf00878cf,Sample,,631906c7256888ddf0082c9a,,,,,,,,,,,,,,,BCdT - PT,,,,Sample
631906df256888ddf00878df,Sample,,631906c7256888ddf0082c9a,,,,,,,,,,,,,,,BMgGe - PT,,,,Sample
631906df256888ddf00878ea,Sample,,631906c7256888ddf0082c9a,,,,,,,,,,,,,,,BSb - PT,,,,Sample
